defect name,Issue Qualifier,Source,Defect Group,description,code example,code fix example,Detectability,Pylint,Flake8,Edulint,Vulture,NonEnglishNameDetector
Duplicate Block,Duplication,Organization,"Group1 + Group2 (OR3)	",Two very similar blocks of code.,"if c:
    f(1)
    g(1)
    f(1)
else:
    f(2)
    g(2)
    f(2)","def fun(n):
    f(n)
    g(n)
    f(n)

if c:
    fun(1)
else:
    fun(2)",Detectable,,,R6598 Duplicate blocks starting on lines 11 and 15. Extract the code to a helper function.（Emitted when there are duplicate blocks of code as a body of an if/elif/else/for/while/with/try-except block.）,,
Duplicate Expression,Duplication,Control/Block,Group1 + Group2 (CB9),Repeated occurences of the same (complex) expression.,"if value > 10:
    p = p + ((c + 10) * TAX_RATE) / 100
else:
    p = p - ((c + 10) * TAX_RATE) / 100","adj = ((c + 10) * TAX_RATE) / 100
if value > 10:
    p = p + adj
else:
    p = p - adj",Detectable,,,"R6597 A complex expression 'XXX' used repeatedly (on lines X, X). Extract it to a local variable or create a helper function.",,
"Redundant If-Else	",Unnecessary,Control/Block,Group1 + Group2 (CB1),If-else statement with both branches being return True/False.,"def check_number(num):
    if num % 7 == 3: 
        return True
    else:
        return False","def check_number(num):
    return num % 7 == 3",Detectable,"R1703: The if statement can be replaced with 'return bool(test)' (simplifiable-if-statement)（Used when an if statement can be replaced with 'bool(test)'.）
","WPS531 Found simplifiable returning `if` condition in a function（Forbid if statements that simply return booleans in functions or methods.）
WPS502 Found simplifiable `if` condition（Forbid simplifiable if conditions）","R6201 The if statement can be replaced with 'return number > 0（Emitted when the condition of an if statement can be returned directly (possibly negated).）
R6203 The conditional assignment can be replaced with 'redundant_check = <negated difference not in ['x', 'difference', 'n']>' [default]   （If-else statement with both branches being return True/False.）  ",,
"Redundant Comparison	",Unnecessary,Expressions,Group1 + Group2 (EX1),Comparing a boolean expression to a boolean constant.,"if (x > 10) == True: 
    return length","if x > 10:
    return length",Detectable,"C0121: Comparison 'x == True' should be 'x is True' if checking for the singleton value True, or 'x' if testing for truthiness (singleton-comparison)（Used when an expression is compared to singleton values like True, False or None.）","E712 comparison to True should be 'if cond is True:' or 'if cond:'（When comparing a variable to True, you should use the form if x is True or simply if x. The most common incorrect form is if x == True.）",E712 comparison to True should be 'if cond:' [default],,
"Mergeable Equal	",Unsuitable,Expressions,Group1,Comparing the same expression to multiple values.,c == 'a' or c == 'A',"c in ('a', 'A') / c in ""aA""",Detectable,"R1714: Consider merging these comparisons with 'in' by using 'x in (X, X)'. Use a set instead if elements are hashable. (consider-using-in)（To check if a variable is equal to one of many values, combine the values into a set or tuple and check if the variable is contained ""in"" it instead of checking for equality against each of the values. This is faster and less verbose.）",,"R1714 Consider merging these comparisons with 'in' by using 'x in (1, 2, 3)'. Use a set instead if elements are hashable. [python-specific]",,
"Redundant Elif	",Unnecessary,Organization,Group1+ Group2 (CB2),If clause with a condition that is always true.,"if x < y:
    print(1)
elif x >= y:
    print(2)","if x < y:
    print(1)
else:
    print(2)",Detectable,,,R6611 Use else instead of elif.(Emitted when the condition in elif is negation of the condition in the if.),,
"Unused Variable	",Unnecessary,Data,"Group1 + Group2 (DT1)	",Variable that is defined but never read.,"def main():
    a = 5
    # other code
    return 0
","def main():
    # other code
    return 0",Detectable,W0612: Unused variable 'XXX' (unused-variable)(Used when a variable is defined but not used.),F841 local variable 'XXX' is assigned to but never used（A local variable in your function was defined but is not being used. This local variable should be removed.）,F841 local variable 'name' is assigned to but never used [default],unused variable 'XXX' (XX% confidence),
"Unused Parameter	",Unnecessary,Data,"Group1 + Group2 (DT2)	",Function parameter is never used in the body.,Redundant Variable/Attribute,"def input_hour():
    while True:
        hour = int(input(""Enter the hour (1-12): ""))
        if 1 <= hour <= 12:
            break
    return hour",Special Case,W0613: Unused argument 'XXX' (unused-argument)（Used when a function or method argument is not used.）,,,,
"Unreachable Code	",Unnecessary,Control/Block,"Group1 + Group2 (CB7)	",Part of source code that is never executed.,"def func():
    return x
    print(x)  ","def func():
    return x",Detectable,"W0101: Unreachable code (unreachable)（Used when there is some code behind a ""return"" or ""raise"" statement, which will never be accessed.）","WPS427 Found unreachable code（This is probably caused by return or raise statements. However, we cannot cover 100% of truly unreachable code by this rule. This happens due to the dynamic nature of python. For example, detecting that 1 / some_value would sometimes raise an exception is too complicated and is out of the scope of this rule.）","W0101: Unreachable code (unreachable)
WPS427 Found unreachable code",unreachable code after ' XXX' (XX% confidence),
"Statement with No Effect	",Unnecessary,Control/Block,"Group1 + Group2 (CB4)	",A statement that has no effect on execution.,"var = """"
var = int(input())",var = int(input()) ,Special Case,W0104: Statement seems to have no effect (pointless-statement)（Used when a statement doesn't have (or at least seems to) any effect.）,WPS428 Found statement that has no effect（Refactor your code in case it was a typo or error or just delete this code.）,"W0104 Statement seems to have no effect [default]
WPS428 Found statement that has no effect",,
Commented Out Code,Unnecessary,Documentation,Group1,The code contains commented out parts of code.,"# print('Debug', some_statement)",remove the code,Detectable,,E800 Found commented out code,,,
"Unused Function	",Unnecessary,Organization,"Group1 + Group2 (OR1)	",A function that is defined but never called.,"def f():
    print(4)

print(4)",print(4),Detectable,,,,unused function 'XXX' (XX% confidence),
Nested If,Unnecessary,Control/Block,"Group1 + Group2 (CB8)	",Nested if-statements avoidable using conjunction.,"if c1:
    if c2:
        # body","if c1 and c2:
    # body",Detectable,,,R6207 The if statement can be merged with the nested one to 'if XX and XX:' [enhancement]（Emitted when the condition of an if statement can be merged with its nested if’s condition using logical operators.）,,
All If Branches Start/End with Identical Code,Duplication,Control/Block,"Group1 + Group2 (CB12)	","All if/elif/else branches start or end with the same code, which could be moved outside the condition.","if cond:
    print(""foo"")
    i += 1
else:
    print(""bar"")
    i += 1","if cond:
    print(""foo"")
else:
    print(""bar"")
i += 1",Detectable,,,"R6595 Identical code inside all if's branches, move * lines before the if.（Emitted when identical code starts or ends all branches of an if statement.）",,
Else If,Unsuitable,Control/Block,"Group1 + Group2 (CB21)	",Else clause containing just single if-else block.,"else:
    if c:
        print(x)","menu = (""eggs"", ""spam"", 42.4)

f_string_order = f""{menu[0]} and {menu[1]}: {menu[2]:0.2f} ¤""",Detectable,,WPS513 Found implicit `elif` condition,R6605 Use elif.(Emitted when the code contains else: if construction instead of elif. Might return a false positive if the code mixes tabs and spaces.),,
Empty If,Unnecessary,Control/Block,Group1 + Group2 (CB5),Redundant branch containing just pass.,"if c:
    pass 
else:
    # body","if not c:
    # body",Detectable,,,R6205 Use 'if <negated c>: <else body>' instead of 'pass' [default],,
For with Redundant Indexing,Unsuitable,Control/Block,Group1,"Iterating through indices, only accessing items at the current index.","for i in range(len(text)):
    print(text[i])","for letter in text:
    print(letter)",Detectable,,,"R6307 Iterate directly: ""for var in XXX"" (with appropriate name for ""var"") [default]",,
"While as For	",Unsuitable,Control/Block,Group1 + Group2 (CB20),While loop used when the number of iterations is known beforehand.,"number = 0
while number < limit:
    print(number)
    number += 2","for number in range(0, limit, 2):
    print(number)",Special Case,,,R6305 You should use for loop instead of this form of while loop. (Emitted when a while loop can be transformed into a for loop.),,
Changing the Control Variable of a For Loop,Unclear,Control/Block,"Group1 + Group2 (CB15)	",Changing a control variable of a for loop at the end of an iteration has no effect.,"for iter in range(numMaxIter):
    iter = ( ... )","for iter in range(numMaxIter):
other_var = ( ... )",Detectable,,,R6304 Changing the control variable X of a for loop has no effect. [default]（Emitted when the control variable of a for loop is being changed.）,,
Redundant For,Unnecessary,Control/Block,"Group1 + Group2 (CB6)	",For loop with zero or single iteration.,"def abs_value(d):
    result = d
    for i in range(10): 
        if d < 0:
            result = -d
    return result","def abs_value(d):
    if d < 0:
        return -d
    return d",Special Case,,,R6606 The for loop makes only one iteration.(Emitted when a for loop would always perform at most one iteration.),,
"Misleading Name	",Unclear,Documentation,Group1 + Group2 (DC2),"Variable name i or j used when traversing items, not indices.","for i in text:
    print(i)","for letter in text:
    print(letter)",Undetectable,,,,,
Easy-to-Confuse Variable Name,Unclear,Data,"Group1	","The code contains a variable named I, l, or O, which can be confusing.","O = 100.0
total = O * 1.08","order = 100.0
total = order * 1.08",Detectable,,"E741 ambiguous variable name（Variables named I, O, and l can be very hard to read. This is because the letter I and the letter l are easily confused, and the letter O and the number 0 can be easily confused.）
","E741 ambiguous variable name
",,
"using Non-English Identifiers	",Unclear,Data,Group1,The code uses function or variable names that are not in English.,promenna = 28,variable = 28,Detectable,,,,,"NE103 Non-English variable name: 'XX'
NE101 Non-English function name: 'XX'
NE102  Non-English  class name: 'XX'
NE104  Non-English. attribute name: 'XX'"
Built-in Name,Unclear,Data,Group1,Variable name conflicts with a built-in function name.,"list = [3, 4]","nums = [3, 4]",Detectable,W0622: Redefining built-in 'list' (redefined-builtin)（Used when a variable or function overrides a built-in）,WPS125 Found builtin shadowing: list（Forbid variable or module names which shadow builtin names）,W0622 Redefining built-in 'list' [default],,
Inconsistent Names,Inconsistent,Typographic,Group1 + Group2 (TP5),Functions with similar purpose have names using different naming schemes.,"validate_pair
tuple_validation","validate_pair
validate_tuple",Undetectable,,,,,
"Long Function	",Unsuitable,Organization,"Group1 + Group2 (OR8)	",Function with more than 20 statements.,"def f():
    ...  # More than 20 statements",Decompose further if possible,Detectable,R0915: Too many statements (**/20) (too-many-statements),,R6702 Function 'XX' is too long (XX which is over 20 statements).,,
Long Script,Unsuitable,Organization,"Group1 + Group2 (OR8)	",Program with more than 20 statements on the level of the main program (outside functions)., ...  # More than 20 statements,Decompose further if possible,Detectable,,,R6701 Too much code outside of functions or classes (** which is over 20 statements).（Emitted when there are too many lines of code on the top level that are not import or function or class definition.）,,
"Too Many Arguments	",Unclear,Data,Group1,The function has too many arguments.,"def move(board, x, y, dir_x, dir_y, color):
   # body","def move(board, position, direction, color):
    # body",Detectable,R0913: Too many arguments (*/5) (too-many-arguments),WPS211 Found too many arguments: * > 5,R0913 Too many arguments (* /5) [complexity],,
"Lack of Decomposition	",Unclear,Organization,"Group2 (OR6)	","The Single Responsibility Principle may be ignored when
decomposing the code into multiple methods ","def input_status():
    credits = int(input(""Enter the number of credits taken: ""))
    while not (1 <= credits <= 150):
        credits = int(input(""Enter the number of credits taken: ""))

    if credits <= 28:
        return ""freshman""
    elif credits <= 56:
        return ""sophomore""
    elif credits <= 84:
        return ""junior""
    else:
        return ""senior""","def input_credits():
    credits = int(input(""Enter the number of credits taken: ""))
    while not (1 <= credits <= 150):
        credits = int(input(""Enter the number of credits taken: ""))
    return credits

def determine_status(credits):
    if credits <= 28:
        return ""freshman""
    elif credits <= 56:
        return ""sophomore""
    elif credits <= 84:
        return ""junior""
    return ""senior""",Undetectable,,,,,
"Long Line	",Unclear,Typographic,"Group1 + Group2 (TP1, TP3)	",Line with more than 100 characters.,income = (gross_wages + taxable_interest + (dividends - qualified_dividends) - ira_deduction - student_loan_interest),"income = (gross_wages
          + taxable_interest
          + (dividends - qualified_dividends)
          - ira_deduction
          - student_loan_interest)",Detectable,C0301: Line too long (1**/100) (line-too-long),E501 line too long (1** > 100 characters),E501 line too long (1** > 100 characters) [default],,
"Non-ASCII Characters in Identifier	",Unclear,Data,"Group1	",An identifier contains non-ASCII characters.,"proměnná = 28
переменная = 42
some_變量 = ''",promenna = 28,Detectable,"C2401: XXX name ""XXX"" contains a non-ASCII character, consider renaming it. (non-ascii-name)（Used when the name contains at least one non-ASCII unicode character.）",WPS119 Found unicode name（Rename your entities so that they contain only ASCII symbols.）,"C2401 Argument name ""X"" contains a non-ASCII character, consider renaming it. [default]
",,
"Multiple Statements on One Line	",Unclear,Typographic,"condAux = cond1 and cond2
condRes = condAux and cond3",The code contains more than one statement on a single line.,"if ""apple"" in fruits: print(""it's there"")","if ""apple"" in fruits:
    print(""it's there"")",Detectable,C0321: More than one statement on a single line (multiple-statements)（Used when more than on statement are found on the same line.）,"E702 multiple statements on one line (semicolon)（Multiple statements should not be on the same line separated by a semicolon. They should be on their own separate lines）
E701 multiple statements on one line (colon）（Multiple statements should be on their own separate lines. This improves readability.）
E704	Multiple statements on one line (def)（Multiple statements of a function definition should be on their own separate lines.）","E701 multiple statements on one line (colon) [default]
E702 multiple statements on one line (semicolon) [default]
E704	Multiple statements on one line (def)[default]",,
Magical Constant Instead of Character's Ordinal Value,Unclear,Documentation,"Group1 + Group2 (DC3)	",Using a magic number instead of ord() for a character.,ord(char) < 65,ord(char) < ord('A') / char < 'A',Detectable,,,"R6615 Remove the call to 'ord' and compare to the string directly ""< 'X'"" instead of using the magical constant *. Careful, this may require changing the comparison operator. [default]",,
"Using Global Variables	",Unclear,Data,"Group1 + Group2 (DT8)	",The code unnecessarily uses global variables.,"global_list = []
def main():
    global_list.append(""abc"") 
    print(global_list)
    return None
main()","def main():
local_list = []
local_list.append(""abc"")
print(local_list)
return None
main()",Detectable,"W0603: Using the global statement (global-statement)（Used when you use the ""global"" statement to update a global variable. Pylint discourages its usage. That doesn't mean you cannot use it!）",,"R6401 Do not use global variables; you use count, modifying it for example at line X.",,
Explicit File Open and Close,Unsuitable,Expressions,Group1,"The code uses explicit open and close to manipulate a file, instead of using 'with'.","f = open(""path.txt"")
# work with the file
f.close()","with open(""path.txt"") as f:
    # work with the file",Detectable,R1732: Consider using 'with' for resource-allocating operations (consider-using-with)（Emitted if a resource-allocating assignment or call may be replaced by a 'with' block. By using 'with' the release of the allocated resources is ensured even in the case of an exception.),"WPS515 Found `open()` used without a context manage（When you open() something, you need to close it. When using a context manager - it is automatically done for you. When not using it - you might find yourself in a situation when file is not closed and is not accessible anymore.）",R1732 Consider using 'with' for resource-allocating operations [enhancement],,
Inappropriate Whitespace: Tabs and Spaces,Inconsistent,Typographic,Group1  + Group2 (TP5),Mixing tabs and spaces.,"def get_name(self):
    if self.first_name and self.last_name:
••••→→return self.first_name + ' ' + self.last_name
    else:
        return self.last_name","def get_name(self):
    if self.first_name and self.last_name:
••••••••return self.first_name + ' ' + self.last_name
    else:
        return self.last_name",Detectable,,"E101 indentation contains mixed spaces and tabs(Indentation has both tabs and spaces in it. Programmers should use either tabs or spaces, but not both.)",E101 indentation contains mixed spaces and tabs,,
One-Letter Name,Unclear,Data,Group1,One-letter variable name.,l = 4,length = 4,Detectable,,"
VNE001 single letter variable names like 'X' are not allowed","WPS111 Found too short name: X < 2（Forbid short variable or module names.This rule checks: modules, variables, attributes, functions, methods, and classes. We do not count trailing and leading underscores when calculating length.）",,
Using Known Value as Variable,Duplication,Expressions,Group1 + Group2 (EX3),The code uses an expression already tested for a specific value.,"if len(lst1) == 0:
    print(lst2[len(lst1)])","if len(lst1) == 0:
    print(lst2[0])",Undetectable,,,,,
Duplicate Sequence,Duplication,Control/Block,Group1,Sequence of commands (or blocks of commands) that are identical or differ by a single value.,"print(1)
print(2)
print(3)
print(4)","for i in range(4):
    print(i + 1)",Detectable,,,"R6552 There are * repetitions of 1 similar statements, which can be simplified using a loop. Consider iterating over 'range(*, *)'（Emitted when similar sequential blocks can be deduplicated using a loop.）
R6560 There are * repetitions of 1 similar statements, which can be simplified using a loop. Consider iterating over 'range(*, *)'(Emitted when similar sequential blocks can be deduplicated using a loop.)
R6553 The body of the loop contains duplicate blocks, starting on lines %s. Avoid the duplication by repeating the outer loop %s times.(Emitted when the body can be simplified using a loop and the extra iterations can be performed by iterating the outer loop more times.)",,
Block with No Effect,Unnecessary,Control/Block,Group1,An if statement or loop has no effect.,"for number in [1, 2, 3]:
    break",remove the code,Detectable,,WPS328 Found useless node: for（Forbid meaningless nodes）,WPS328 Found useless node: for,,
Inappropriate Whitespace: Visible,Inconsistent,Typographic,"Group1 + Group2 (TP5, TP4, DC5)","Violating PEP 8 conventions about whitespace (only the unanimously accepted rules), ""visible"" formatting (indentation, spaces around operators/keywords, use of empty lines)…","x= 3 *y
print( x, y )","x = 3*y
print(x, y)
",Detectable,,"E231 missing whitespace after ','（There should be whitespace after the characters ,, ;, and :）
E305 expected 2 blank lines after class or function definitio（Functions and classes should have two blank lines after them, separating them from other functions and classes.）
E225 missing whitespace around operator（There should be one space before and after all operators.）
E275 missing whitespace after keyword
E302 expected 2 blank lines
E261 at least two spaces before inline comment
E303,E211,E228,E251,E203,E202,E201,E301,E227,E306,E252,E117,E128,E116,E114,E127,E113,E122,E112,E125,E115,E131,E129","E231 missing whitespace after ','
E305 expected 2 blank lines after class or function definitio
E225 missing whitespace around operator
E275 missing whitespace after keyword
E302 expected 2 blank lines
E261 at least two spaces before inline comment
E303,E211,E228,E251,E203,E202,E201,E301,E227,E306,E252,E117,E128,E116,E114,E127,E113,E122,E112,E125,E115,E131,E129",,
Identifier Breaks Naming Conventions,Inconsistent,Typographic,"Group1 + Group2 (TP5,TP6)",The code contains an identifier that does not follow naming conventions.,"localVariable, global_variable, CLASS_NAME","local_variable, GLOBAL_VARIABLE, ClassName",Detectable," C0103: XXX name ""XXX"" doesn't conform to XXX naming style (invalid-name)（Used when the name doesn't conform to naming rules associated to its type (constant, variable, class...).","N801 class names should use CapWords convention (class names)
N802 function name should be lowercase (function names)
N803 argument name should be lowercase (function arguments)
N804 first argument of a classmethod should be named ‘cls’ (function arguments)
N805 first argument of a method should be named ‘self’ (function arguments)
N806 variable in function should be lowercase
N807 function name should not start and end with ‘__’
N811 constant imported as non constant (constants)
N812 lowercase imported as non-lowercase
N813 camelcase imported as lowercase
N814 camelcase imported as constant (distinct from N817 for selective enforcement)
N815 mixedCase variable in class scope (constants, method names)
N816 mixedCase variable in global scope (constants)
N817 camelcase imported as acronym (distinct from N814 for selective enforcement)
N818 error suffix in exception names (exceptions)","C0103 Function name ""XXX"" doesn't conform to snake_case naming style [default]",,
Duplicate If,Duplication,Control/Block,Group1 + Group2 (CB10),Consecutive if statements with the same body.,"if value < 2:
    return 0
if value > 15:
    return 0","if value < 2 or value > 15:
    return 0",Detectable,,,"R6596 Identical code inside 2 consecutive ifs, join their conditions using 'or'.（Emitted when several consecutive if statements have identical bodies and thus can be joined by or in their conditions.）",,
Duplicate Block in If,Duplication,Control/Block,Group1,Duplicate blocks inside if/elif/else where the condition could be evaluated inside the block to avoid duplication.,"if line % 2 == 0:
    for i in range(width // 2):
        print(""# "")
else:
    for i in range(width // 2):
        print("" #"")","for i in range(width // 2):
    print(""# "" if line % 2 == 0 else "" #"")",Detectable,,,"R6501 The branches of the 'if' statement are identical. Remove the 'if' if it is on purpose, or change the branches if not.(Emitted when all branches of an ‘if’ statement contain identical code.)
R6556 The branches of the 'if' statement are similar. Move the 'if' into the branches, so that it only contains lines 3, 6, but only if the if's body has no effect on the condition's value.（Emitted when an ‘if’ statement wraps too long part of a block (similar to identical-if-branches-part, but this one can suggest moving if into a for loop, for example).）
R6559 The branches of the 'if' statement are similar. Use helper variables to store the values that differ between the branches, or create a helper function.（Emitted when the duplication between if statement’s branches can be avoided using helper variables or functions.）",,
No Early Return,Unsuitable,Expressions,Group1,A condition executes a long code block in the positive branch and a short one in the negative branch.,"if cond:
    # long code
else:
    return 0","if not cond:
    return 0
# long code",Special Case,,,"R6616 Use early return（Emitted when a long block of code is followed by an else that just returns, breaks or continues.）",,
